kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mis.1.sm_61.ptx 187 : 1536 1420 0 0 0 0 0 0 4 
mis.1.sm_61.ptx 189 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 190 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 191 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 192 : 1252 10208 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 193 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 194 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 195 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 198 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 199 : 1252 10016 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 200 : 1252 10016 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 201 : 1252 181524 0 0 0 160 40 0 0 
